Ncommitsbycreator,Ncommitsinproject,Nissuesbycreatorclosed,Nissuescreatedinproject,Nissuescreatedinprojectclosed
2.0,407.0,0.0,641.0,33.0
0.0,111.0,0.0,235.0,0.0
0.0,741.0,6.0,985.0,142.0
0.0,542.0,2.0,837.0,4.0
0.0,563.0,0.0,818.0,2.0
0.0,82.0,0.0,154.0,0.0
0.0,668.0,21.0,911.0,79.0
0.0,351.0,0.0,541.0,1.0
0.0,393.0,1.0,722.0,7.0
0.0,456.0,1.0,795.0,3.0
0.0,489.0,1.0,838.0,0.0
0.0,126.0,1.0,218.0,1.0
0.0,686.0,10.0,927.0,91.0
0.0,727.0,0.0,1027.0,1.0
0.0,797.0,0.0,1076.0,1.0
0.0,122.0,0.0,236.0,0.0
0.0,349.0,0.0,590.0,6.0
0.0,399.0,0.0,569.0,1.0
0.0,497.0,0.0,847.0,0.0
0.0,264.0,7.0,534.0,129.0
0.0,587.0,0.0,839.0,27.0
0.0,120.0,10.0,278.0,2.0
0.0,117.0,0.0,218.0,1.0
0.0,718.0,0.0,986.0,4.0
0.0,391.0,0.0,628.0,6.0
0.0,166.0,2.0,328.0,0.0
0.0,128.0,0.0,311.0,0.0
0.0,639.0,0.0,947.0,2.0
0.0,101.0,0.0,205.0,0.0
0.0,69.0,0.0,157.0,0.0
0.0,385.0,0.0,631.0,6.0
0.0,148.0,1.0,387.0,0.0
0.0,160.0,0.0,272.0,0.0
0.0,657.0,2.0,945.0,12.0
0.0,475.0,0.0,791.0,3.0
0.0,612.0,0.0,837.0,62.0
0.0,460.0,1.0,718.0,4.0
0.0,744.0,0.0,1012.0,154.0
0.0,818.0,0.0,1081.0,1.0
0.0,147.0,49.0,333.0,5.0
0.0,109.0,3.0,224.0,19.0
0.0,124.0,0.0,195.0,0.0
31.0,121.0,0.0,209.0,0.0
2.0,453.0,1.0,641.0,1.0
0.0,134.0,0.0,209.0,0.0
0.0,346.0,0.0,573.0,6.0
0.0,449.0,4.0,642.0,1.0
0.0,123.0,0.0,212.0,0.0
0.0,97.0,88.0,212.0,7.0
0.0,454.0,1.0,682.0,1.0
0.0,563.0,2.0,812.0,9.0
0.0,489.0,0.0,826.0,4.0
57.0,153.0,0.0,269.0,0.0
0.0,745.0,0.0,1012.0,175.0
0.0,400.0,0.0,564.0,20.0
0.0,102.0,0.0,176.0,1.0
0.0,112.0,1.0,232.0,2.0
0.0,124.0,0.0,250.0,0.0
0.0,114.0,0.0,235.0,0.0
0.0,626.0,1.0,881.0,13.0
0.0,150.0,9.0,375.0,1.0
0.0,388.0,4.0,686.0,7.0
0.0,110.0,0.0,236.0,0.0
0.0,115.0,0.0,225.0,0.0
0.0,320.0,0.0,516.0,8.0
6.0,763.0,0.0,1026.0,1.0
6.0,523.0,2.0,831.0,1.0
0.0,590.0,0.0,857.0,2.0
0.0,755.0,8.0,1036.0,1.0
0.0,328.0,5.0,509.0,17.0
0.0,481.0,0.0,698.0,1.0
0.0,168.0,9.0,315.0,38.0
0.0,124.0,0.0,206.0,0.0
0.0,633.0,0.0,914.0,13.0
0.0,672.0,6.0,922.0,77.0
0.0,296.0,0.0,502.0,12.0
0.0,117.0,6.0,244.0,2.0
0.0,575.0,2.0,827.0,24.0
0.0,97.0,88.0,215.0,0.0
0.0,326.0,0.0,534.0,1.0
0.0,31.0,0.0,74.0,0.0
0.0,104.0,0.0,205.0,0.0
0.0,766.0,0.0,1039.0,1.0
0.0,441.0,0.0,638.0,4.0
0.0,403.0,1.0,570.0,21.0
0.0,750.0,0.0,1027.0,3.0
0.0,122.0,0.0,214.0,0.0
0.0,126.0,0.0,200.0,0.0
0.0,119.0,0.0,327.0,0.0
0.0,549.0,8.0,846.0,4.0
0.0,108.0,0.0,198.0,0.0
0.0,699.0,9.0,954.0,6.0
0.0,416.0,0.0,599.0,3.0
0.0,95.0,88.0,209.0,1.0
0.0,481.0,0.0,699.0,1.0
0.0,574.0,2.0,840.0,11.0
0.0,525.0,1.0,828.0,4.0
0.0,410.0,0.0,584.0,21.0
0.0,68.0,0.0,162.0,0.0
0.0,166.0,50.0,314.0,42.0
0.0,112.0,0.0,223.0,0.0
0.0,762.0,1.0,1034.0,1.0
0.0,325.0,0.0,535.0,0.0
0.0,87.0,0.0,154.0,1.0
0.0,452.0,0.0,640.0,1.0
0.0,103.0,0.0,177.0,1.0
2.0,177.0,26.0,437.0,0.0
0.0,266.0,12.0,493.0,3.0
0.0,75.0,0.0,159.0,0.0
0.0,284.0,0.0,510.0,0.0
0.0,157.0,0.0,268.0,0.0
0.0,113.0,0.0,211.0,0.0
0.0,847.0,27.0,1127.0,371.0
0.0,288.0,6.0,552.0,87.0
0.0,138.0,0.0,236.0,0.0
0.0,641.0,0.0,927.0,12.0
0.0,544.0,0.0,833.0,5.0
0.0,396.0,0.0,633.0,1.0
0.0,134.0,0.0,247.0,0.0
0.0,753.0,1.0,1029.0,3.0
0.0,757.0,5.0,1039.0,1.0
0.0,486.0,0.0,828.0,3.0
0.0,148.0,0.0,257.0,0.0
0.0,138.0,2.0,299.0,0.0
7.0,337.0,1.0,523.0,19.0
0.0,638.0,0.0,939.0,2.0
0.0,754.0,0.0,967.0,241.0
0.0,670.0,0.0,972.0,1.0
0.0,301.0,0.0,511.0,0.0
0.0,488.0,0.0,828.0,2.0
0.0,114.0,0.0,194.0,1.0
0.0,157.0,0.0,275.0,0.0
0.0,131.0,1.0,318.0,0.0
0.0,704.0,9.0,938.0,109.0
0.0,145.0,19.0,361.0,3.0
0.0,130.0,0.0,193.0,0.0
51.0,130.0,0.0,219.0,0.0
0.0,106.0,0.0,184.0,1.0
0.0,557.0,0.0,798.0,28.0
0.0,126.0,0.0,320.0,0.0
0.0,609.0,0.0,868.0,35.0
0.0,686.0,0.0,950.0,9.0
17.0,257.0,32.0,511.0,8.0
0.0,535.0,0.0,802.0,2.0
0.0,132.0,0.0,195.0,0.0
0.0,611.0,1.0,853.0,22.0
0.0,307.0,0.0,492.0,16.0
0.0,444.0,0.0,663.0,1.0
0.0,267.0,12.0,539.0,148.0
0.0,362.0,0.0,597.0,1.0
0.0,34.0,0.0,89.0,0.0
0.0,453.0,0.0,690.0,5.0
0.0,671.0,5.0,956.0,11.0
0.0,480.0,2.0,779.0,3.0
0.0,608.0,2.0,904.0,2.0
0.0,405.0,0.0,573.0,1.0
0.0,841.0,0.0,1113.0,370.0
62.0,163.0,0.0,276.0,0.0
0.0,546.0,10.0,834.0,8.0
0.0,111.0,0.0,197.0,0.0
0.0,596.0,0.0,830.0,47.0
41.0,786.0,0.0,1050.0,1.0
0.0,485.0,1.0,754.0,20.0
0.0,86.0,0.0,157.0,1.0
0.0,154.0,19.0,308.0,12.0
3.0,21.0,0.0,51.0,0.0
0.0,24.0,0.0,59.0,0.0
0.0,122.0,0.0,222.0,0.0
0.0,576.0,20.0,823.0,20.0
0.0,84.0,0.0,174.0,0.0
145.0,858.0,0.0,1128.0,1.0
0.0,552.0,4.0,808.0,29.0
0.0,609.0,0.0,861.0,23.0
0.0,159.0,0.0,331.0,0.0
0.0,479.0,0.0,832.0,2.0
0.0,381.0,1.0,662.0,7.0
0.0,127.0,0.0,197.0,0.0
0.0,115.0,0.0,201.0,0.0
0.0,461.0,1.0,799.0,3.0
0.0,496.0,3.0,841.0,0.0
0.0,566.0,0.0,803.0,4.0
0.0,436.0,0.0,625.0,4.0
0.0,116.0,0.0,246.0,0.0
0.0,158.0,1.0,316.0,6.0
12.0,354.0,1.0,542.0,1.0
0.0,55.0,0.0,155.0,0.0
0.0,149.0,12.0,360.0,4.0
14.0,282.0,29.0,492.0,0.0
0.0,507.0,2.0,837.0,0.0
0.0,495.0,0.0,869.0,0.0
0.0,493.0,0.0,708.0,1.0
0.0,639.0,1.0,945.0,2.0
0.0,777.0,0.0,1040.0,1.0
0.0,845.0,0.0,1118.0,1.0
0.0,287.0,1.0,550.0,88.0
0.0,519.0,0.0,819.0,3.0
0.0,502.0,0.0,814.0,2.0
0.0,161.0,0.0,323.0,0.0
0.0,549.0,0.0,792.0,29.0
0.0,155.0,0.0,336.0,5.0
0.0,510.0,1.0,842.0,0.0
0.0,382.0,1.0,603.0,1.0
0.0,151.0,0.0,360.0,3.0
0.0,377.0,0.0,542.0,20.0
0.0,614.0,0.0,856.0,13.0
0.0,122.0,0.0,305.0,0.0
0.0,476.0,0.0,822.0,3.0
1.0,698.0,0.0,931.0,102.0
51.0,112.0,0.0,200.0,1.0
0.0,308.0,2.0,499.0,16.0
0.0,19.0,0.0,22.0,0.0
0.0,108.0,0.0,188.0,1.0
0.0,833.0,0.0,1092.0,1.0
0.0,115.0,0.0,241.0,2.0
0.0,107.0,0.0,227.0,0.0
0.0,123.0,0.0,185.0,1.0
0.0,282.0,0.0,491.0,0.0
0.0,755.0,0.0,1010.0,165.0
0.0,324.0,0.0,537.0,0.0
0.0,130.0,0.0,228.0,0.0
0.0,140.0,1.0,304.0,0.0
0.0,484.0,2.0,827.0,3.0
0.0,139.0,1.0,283.0,0.0
0.0,570.0,14.0,836.0,9.0
0.0,718.0,0.0,984.0,4.0
0.0,192.0,0.0,443.0,0.0
52.0,135.0,0.0,203.0,0.0
0.0,503.0,0.0,845.0,0.0
0.0,113.0,1.0,228.0,2.0
0.0,133.0,0.0,283.0,0.0
0.0,503.0,0.0,756.0,3.0
0.0,2.0,0.0,10.0,0.0
0.0,427.0,2.0,736.0,7.0
0.0,553.0,0.0,796.0,4.0
0.0,164.0,25.0,302.0,15.0
0.0,154.0,12.0,355.0,4.0
50.0,138.0,0.0,249.0,0.0
0.0,270.0,7.0,493.0,20.0
0.0,121.0,0.0,256.0,2.0
0.0,749.0,14.0,973.0,241.0
3.0,702.0,3.0,938.0,108.0
0.0,403.0,1.0,566.0,20.0
0.0,54.0,0.0,136.0,0.0
0.0,745.0,19.0,974.0,239.0
0.0,458.0,0.0,644.0,1.0
0.0,507.0,0.0,828.0,4.0
0.0,115.0,0.0,200.0,0.0
0.0,834.0,0.0,1101.0,1.0
0.0,591.0,0.0,847.0,26.0
0.0,158.0,0.0,271.0,0.0
0.0,533.0,0.0,801.0,2.0
0.0,843.0,1.0,1108.0,1.0
0.0,671.0,10.0,916.0,77.0
0.0,123.0,0.0,209.0,0.0
0.0,113.0,2.0,307.0,2.0
0.0,612.0,1.0,851.0,22.0
0.0,378.0,0.0,628.0,1.0
0.0,471.0,0.0,653.0,1.0
0.0,547.0,5.0,832.0,7.0
0.0,494.0,0.0,711.0,1.0
0.0,128.0,0.0,221.0,0.0
0.0,555.0,0.0,806.0,28.0
0.0,561.0,2.0,798.0,4.0
0.0,400.0,0.0,641.0,1.0
0.0,766.0,10.0,1033.0,202.0
0.0,331.0,0.0,548.0,1.0
0.0,550.0,14.0,844.0,8.0
0.0,504.0,2.0,847.0,0.0
0.0,84.0,0.0,196.0,0.0
0.0,128.0,87.0,214.0,42.0
0.0,355.0,0.0,595.0,6.0
0.0,1.0,0.0,5.0,0.0
0.0,505.0,3.0,847.0,0.0
0.0,121.0,0.0,221.0,0.0
0.0,599.0,0.0,847.0,25.0
0.0,248.0,0.0,504.0,0.0
0.0,87.0,0.0,179.0,0.0
0.0,602.0,1.0,846.0,18.0
0.0,377.0,0.0,558.0,1.0
0.0,302.0,28.0,512.0,0.0
0.0,126.0,2.0,305.0,0.0
0.0,373.0,0.0,612.0,6.0
50.0,107.0,0.0,183.0,1.0
0.0,854.0,1.0,1127.0,1.0
0.0,122.0,4.0,204.0,43.0
0.0,721.0,0.0,1021.0,1.0
0.0,650.0,44.0,896.0,127.0
0.0,842.0,0.0,1093.0,1.0
0.0,131.0,0.0,255.0,0.0
0.0,759.0,6.0,1037.0,1.0
0.0,146.0,0.0,266.0,0.0
0.0,469.0,3.0,658.0,1.0
0.0,288.0,6.0,555.0,88.0
0.0,380.0,1.0,625.0,6.0
0.0,545.0,16.0,834.0,8.0
0.0,616.0,5.0,874.0,13.0
0.0,594.0,0.0,861.0,2.0
0.0,137.0,0.0,249.0,0.0
0.0,142.0,0.0,259.0,0.0
0.0,161.0,0.0,324.0,0.0
0.0,459.0,1.0,761.0,7.0
0.0,530.0,2.0,789.0,2.0
0.0,716.0,6.0,992.0,3.0
0.0,766.0,5.0,1034.0,1.0
0.0,593.0,12.0,851.0,20.0
0.0,192.0,1.0,445.0,0.0
0.0,112.0,0.0,233.0,2.0
0.0,767.0,7.0,1028.0,202.0
0.0,83.0,0.0,166.0,0.0
0.0,843.0,0.0,1097.0,1.0
0.0,489.0,3.0,825.0,4.0
0.0,500.0,0.0,819.0,5.0
0.0,683.0,0.0,926.0,90.0
2.0,300.0,0.0,493.0,15.0
0.0,178.0,19.0,321.0,38.0
40.0,690.0,6.0,950.0,9.0
0.0,393.0,0.0,638.0,1.0
0.0,443.0,0.0,629.0,2.0
0.0,748.0,2.0,1026.0,2.0
0.0,382.0,0.0,548.0,20.0
0.0,496.0,2.0,832.0,3.0
0.0,754.0,0.0,1042.0,1.0
0.0,26.0,0.0,66.0,0.0
0.0,553.0,2.0,846.0,8.0
0.0,569.0,1.0,824.0,2.0
0.0,126.0,0.0,327.0,0.0
0.0,386.0,0.0,607.0,1.0
0.0,142.0,0.0,249.0,0.0
0.0,603.0,0.0,849.0,22.0
42.0,782.0,9.0,1051.0,199.0
0.0,113.0,0.0,173.0,0.0
0.0,460.0,0.0,805.0,3.0
83.0,122.0,0.0,223.0,0.0
27.0,107.0,1.0,185.0,1.0
0.0,121.0,0.0,249.0,0.0
0.0,746.0,0.0,1012.0,3.0
0.0,119.0,0.0,210.0,0.0
0.0,467.0,1.0,817.0,3.0
0.0,559.0,0.0,792.0,4.0
31.0,665.0,4.0,956.0,1.0
0.0,498.0,0.0,840.0,3.0
0.0,362.0,0.0,600.0,1.0
0.0,628.0,1.0,887.0,13.0
0.0,762.0,0.0,1050.0,1.0
0.0,98.0,0.0,181.0,1.0
0.0,470.0,0.0,694.0,1.0
0.0,568.0,0.0,799.0,4.0
0.0,502.0,0.0,823.0,4.0
0.0,89.0,0.0,216.0,0.0
0.0,380.0,4.0,542.0,20.0
0.0,524.0,0.0,831.0,1.0
0.0,116.0,13.0,220.0,33.0
0.0,467.0,1.0,819.0,3.0
0.0,156.0,0.0,346.0,5.0
81.0,117.0,0.0,212.0,0.0
13.0,264.0,31.0,530.0,114.0
0.0,79.0,0.0,172.0,0.0
0.0,82.0,0.0,155.0,0.0
0.0,113.0,0.0,229.0,0.0
0.0,492.0,4.0,718.0,116.0
0.0,154.0,0.0,266.0,0.0
0.0,632.0,7.0,916.0,13.0
0.0,643.0,8.0,912.0,13.0
0.0,629.0,8.0,891.0,13.0
0.0,348.0,0.0,535.0,1.0
0.0,145.0,2.0,292.0,0.0
0.0,105.0,0.0,204.0,0.0
0.0,107.0,0.0,212.0,0.0
0.0,101.0,14.0,213.0,7.0
0.0,646.0,1.0,935.0,12.0
14.0,294.0,31.0,544.0,98.0
0.0,493.0,2.0,833.0,3.0
0.0,181.0,0.0,304.0,23.0
0.0,498.0,0.0,838.0,0.0
0.0,594.0,9.0,860.0,16.0
0.0,754.0,1.0,1036.0,1.0
0.0,119.0,1.0,343.0,0.0
0.0,131.0,0.0,209.0,0.0
0.0,629.0,5.0,895.0,13.0
0.0,121.0,0.0,229.0,1.0
0.0,248.0,2.0,518.0,0.0
76.0,98.0,0.0,208.0,0.0
52.0,140.0,0.0,210.0,0.0
0.0,162.0,0.0,275.0,0.0
0.0,753.0,3.0,1030.0,2.0
0.0,655.0,0.0,948.0,1.0
0.0,470.0,2.0,784.0,6.0
0.0,139.0,0.0,228.0,0.0
0.0,657.0,2.0,944.0,12.0
0.0,164.0,1.0,330.0,0.0
0.0,750.0,14.0,1018.0,183.0
0.0,781.0,0.0,1066.0,1.0
0.0,145.0,42.0,385.0,0.0
0.0,96.0,0.0,175.0,0.0
0.0,123.0,0.0,284.0,2.0
0.0,379.0,0.0,627.0,1.0
0.0,781.0,5.0,1044.0,230.0
0.0,465.0,0.0,719.0,15.0
0.0,156.0,1.0,308.0,12.0
0.0,168.0,0.0,328.0,0.0
0.0,127.0,0.0,219.0,1.0
0.0,563.0,2.0,806.0,8.0
0.0,482.0,0.0,834.0,2.0
0.0,97.0,1.0,222.0,2.0
0.0,581.0,35.0,823.0,26.0
0.0,109.0,4.0,217.0,2.0
0.0,490.0,0.0,840.0,0.0
64.0,160.0,0.0,281.0,0.0
0.0,466.0,1.0,775.0,6.0
0.0,835.0,1.0,1099.0,1.0
0.0,156.0,0.0,321.0,0.0
0.0,764.0,0.0,1040.0,231.0
0.0,412.0,0.0,660.0,5.0
0.0,488.0,0.0,749.0,4.0
0.0,589.0,12.0,842.0,14.0
0.0,662.0,14.0,903.0,67.0
0.0,507.0,1.0,822.0,4.0
0.0,760.0,0.0,1044.0,1.0
0.0,165.0,43.0,430.0,0.0
0.0,516.0,3.0,805.0,3.0
